stock_id,date,eps
1108,2024-12-31,0.32
1108,2025-03-31,0.32
1108,2025-06-30,1.4
1108,2025-09-30,0.3
1109,2017-03-31,0.09
1109,2017-06-30,0.33
1109,2017-09-30,0.3
1109,2017-12-31,0.6
1109,2018-03-31,0.34
1109,2018-06-30,0.35
1109,2018-09-30,0.71
1109,2018-12-31,0.98
1109,2019-03-31,0.37
1109,2019-06-30,0.67
1109,2019-09-30,0.83
1109,2019-12-31,0.95
1109,2020-03-31,0.27
1109,2020-06-30,0.66
1109,2020-09-30,0.79
1109,2020-12-31,1.22
1109,2021-03-31,0.83
1109,2021-06-30,0.47
1109,2021-09-30,0.31
1109,2021-12-31,0.91
1109,2022-03-31,0.26
1109,2022-06-30,-0.06
1109,2022-09-30,0.63
1109,2022-12-31,0.34
1109,2023-03-31,0.42
1109,2023-06-30,0.6
1109,2023-09-30,0.34
1109,2023-12-31,0.65
1109,2024-03-31,0.35
1109,2024-06-30,0.55
1109,2024-09-30,0.18
1109,2024-12-31,0.3
1109,2025-03-31,0.25
1109,2025-06-30,0.24
1109,2025-09-30,0.31
1110,2017-03-31,0.04
1110,2017-06-30,-0.05
1110,2017-09-30,0.02
1110,2017-12-31,0.1
1110,2018-03-31,0.03
1110,2018-06-30,0.07
1110,2018-09-30,0.06
1110,2018-12-31,-0.04
1110,2019-03-31,0.05
1110,2019-06-30,-0.01
1110,2019-09-30,0.03
1110,2019-12-31,-0.01
1110,2020-03-31,-0.05
1110,2020-06-30,0.02
1110,2020-09-30,0.04
1110,2020-12-31,0.03
1110,2021-03-31,0.03
1110,2021-06-30,0.05
1110,2021-09-30,0.13
1110,2021-12-31,0.04
1110,2022-03-31,0.05
1110,2022-06-30,-0.1
1110,2022-09-30,0.12
1110,2022-12-31,0.19
1110,2023-03-31,0.06
1110,2023-06-30,0.12
1110,2023-09-30,0.1
1110,2023-12-31,-0.02
1110,2024-03-31,0.05
1110,2024-06-30,0.1
1110,2024-09-30,0.35
1110,2024-12-31,0.11
1110,2025-03-31,0.08
1110,2025-06-30,-0.01
1110,2025-09-30,0.22
1201,2017-03-31,0.09
1201,2017-06-30,0.01
1201,2017-09-30,0.07
1201,2017-12-31,1.14
1201,2018-03-31,0.23
1201,2018-06-30,-0.11
1201,2018-09-30,1.9
1201,2018-12-31,-0.08
1201,2019-03-31,2.21
1201,2019-06-30,0.1
1201,2019-09-30,0.24
1201,2019-12-31,0.12
1201,2020-03-31,0.05
1201,2020-06-30,0.16
1201,2020-09-30,0.43
1201,2020-12-31,0.42
1201,2021-03-31,0.17
1201,2021-06-30,0.19
1201,2021-09-30,0.4
1201,2021-12-31,0.24
1201,2022-03-31,0.19
1201,2022-06-30,0.18
1201,2022-09-30,0.28
1201,2022-12-31,-0.18
1201,2023-03-31,0.25
1201,2023-06-30,0.07
1201,2023-09-30,0.13
1201,2023-12-31,0.08
1201,2024-03-31,0.26
1201,2024-06-30,0.2
1201,2024-09-30,0.28
1201,2024-12-31,0.13
1201,2025-03-31,0.22
1201,2025-06-30,0.05
1201,2025-09-30,0.16
1203,2017-03-31,0.37
1203,2017-06-30,0.48
1203,2017-09-30,0.64
1203,2017-12-31,0.37
1203,2018-03-31,0.31
1203,2018-06-30,0.55
1203,2018-09-30,0.58
1203,2018-12-31,0.38
1203,2019-03-31,0.5
1203,2019-06-30,0.52
1203,2019-09-30,0.44
1203,2019-12-31,0.46
1203,2020-03-31,0.5
1203,2020-06-30,0.43
1203,2020-09-30,0.56
1203,2020-12-31,0.32
1203,2021-03-31,0.55
1203,2021-06-30,0.53
1203,2021-09-30,0.44
1203,2021-12-31,0.36
1203,2022-03-31,0.59
1203,2022-06-30,0.17
1203,2022-09-30,1.5
1203,2022-12-31,0.37
1203,2023-03-31,0.33
1203,2023-06-30,0.38
1203,2023-09-30,0.64
1203,2023-12-31,0.45
1203,2024-03-31,0.64
1203,2024-06-30,0.5
1203,2024-09-30,0.44
1203,2024-12-31,0.78
1203,2025-03-31,0.58
1203,2025-06-30,0.06
1203,2025-09-30,0.64
1210,2017-03-31,0.74
1210,2017-06-30,0.55
1210,2017-09-30,0.95
1210,2017-12-31,1.04
1210,2018-03-31,1.16
1210,2018-06-30,0.48
1210,2018-09-30,0.48
1210,2018-12-31,0.63
1210,2019-03-31,0.65
1210,2019-06-30,0.77
1210,2019-09-30,0.9
1210,2019-12-31,0.61
1210,2020-03-31,0.72
1210,2020-06-30,0.94
1210,2020-09-30,1.28
1210,2020-12-31,1.05
1210,2021-03-31,1.01
1210,2021-06-30,0.51
1210,2021-09-30,0.32
1210,2021-12-31,0.48
1210,2022-03-31,0.69
1210,2022-06-30,0.64
1210,2022-09-30,0.55
1210,2022-12-31,0.71
1210,2023-03-31,0.9
1210,2023-06-30,1.27
1210,2023-09-30,1.51
1210,2023-12-31,1.13
1210,2024-03-31,1.0
1210,2024-06-30,0.94
1210,2024-09-30,1.0
1210,2024-12-31,1.27
1210,2025-03-31,1.05
1210,2025-06-30,0.69
1210,2025-09-30,0.93
1213,2017-03-31,0.09
1213,2017-06-30,-0.1
1213,2017-09-30,0.22
1213,2017-12-31,-0.17
1213,2018-03-31,0.03
1213,2018-06-30,0.01
1213,2018-09-30,-0.07
1213,2018-12-31,-1.55
1213,2019-03-31,-0.16
1213,2019-06-30,-0.25
1213,2019-09-30,-0.22
1213,2019-12-31,-0.13
1213,2020-03-31,-0.22
1213,2020-06-30,0.15
1213,2020-09-30,-0.11
1213,2020-12-31,-0.3
1213,2021-03-31,-0.24
1213,2021-06-30,-0.41
1213,2021-09-30,-0.72
1213,2021-12-31,-0.3
1213,2022-03-31,-0.47
1213,2022-06-30,-0.31
1213,2022-09-30,-0.3
1213,2022-12-31,-0.26
1213,2023-03-31,-0.34
1213,2023-06-30,-0.72
1213,2023-09-30,-0.65
1213,2023-12-31,-0.74
1213,2024-03-31,-0.43
1213,2024-06-30,0.0
1213,2024-09-30,-0.32
1213,2024-12-31,9.46
1213,2025-03-31,-0.23
1213,2025-06-30,-0.22
1213,2025-09-30,-0.2
1215,2017-03-31,1.53
1215,2017-06-30,1.18
1215,2017-09-30,1.19
1215,2017-12-31,1.45
1215,2018-03-31,0.98
1215,2018-06-30,0.49
1215,2018-09-30,0.9
1215,2018-12-31,1.18
1215,2019-03-31,0.9
1215,2019-06-30,1.46
1215,2019-09-30,1.15
1215,2019-12-31,1.95
1215,2020-03-31,0.87
1215,2020-06-30,1.74
1215,2020-09-30,2.02
1215,2020-12-31,1.55
1215,2021-03-31,1.45
1215,2021-06-30,1.46
1215,2021-09-30,1.07
1215,2021-12-31,1.08
1215,2022-03-31,1.22
1215,2022-06-30,1.82
1215,2022-09-30,1.01
1215,2022-12-31,1.23
1215,2023-03-31,1.43
1215,2023-06-30,2.04
1215,2023-09-30,2.2
1215,2023-12-31,2.03
1215,2024-03-31,1.25
1215,2024-06-30,1.28
1215,2024-09-30,1.74
1215,2024-12-31,2.28
1215,2025-03-31,2.38
1215,2025-06-30,2.57
1215,2025-09-30,2.99
1216,2017-03-31,0.79
1216,2017-06-30,0.82
1216,2017-09-30,1.01
1216,2017-12-31,4.39
1216,2018-03-31,0.75
1216,2018-06-30,0.97
1216,2018-09-30,0.89
1216,2018-12-31,0.46
1216,2019-03-31,0.93
1216,2019-06-30,1.01
1216,2019-09-30,0.91
1216,2019-12-31,0.5
1216,2020-03-31,0.79
1216,2020-06-30,1.12
1216,2020-09-30,1.26
1216,2020-12-31,0.62
1216,2021-03-31,0.95
1216,2021-06-30,0.95
1216,2021-09-30,1.0
1216,2021-12-31,0.6
1216,2022-03-31,0.75
1216,2022-06-30,0.85
1216,2022-09-30,0.97
1216,2022-12-31,0.45
1216,2023-03-31,0.88
1216,2023-06-30,1.09
