stock_id,date,cash_dividend,stock_dividend
1414,2024-04-14,0.25,0.0
1414,2025-04-13,0.23,0.0
1416,2017-08-02,3.0,0.0
1416,2018-09-04,1.2,0.0
1416,2019-09-03,1.2,0.0
1416,2021-07-25,0.5,0.0
1416,2022-06-25,0.5,0.0
1416,2023-06-24,0.5,0.0
1416,2024-06-24,0.5,0.0
1416,2025-06-16,0.56,0.0
1417,2020-07-18,0.5,0.0
1417,2021-08-12,0.3,0.0
1417,2022-07-28,0.35,0.0
1417,2023-08-03,0.37,0.0
1417,2024-08-01,0.2,0.0
1419,2017-07-11,0.456193,0.0
1419,2018-07-10,3.72611177,0.0
1419,2019-07-18,0.84752263,0.0
1419,2020-08-13,1.0,0.0
1419,2021-08-13,1.0,0.0
1419,2022-08-17,1.0,0.0
1419,2023-09-01,1.5,0.0
1419,2024-07-18,1.2,0.0
1419,2025-08-01,1.5,0.0
1423,2020-07-29,0.12,0.0
1423,2021-08-28,1.8,0.0
1423,2022-07-18,0.75,0.0
1423,2023-07-19,0.2,0.0
1423,2024-07-18,0.6,0.0
1423,2025-06-23,0.8,0.0
1432,2020-11-22,4.0,0.0
1432,2021-11-29,0.0,0.0
1434,2017-07-30,1.5,0.0
1434,2018-07-24,1.9,0.0
1434,2019-07-23,2.1,0.0
1434,2020-07-19,2.5,0.0
1434,2021-08-09,1.0,0.0
1434,2022-08-01,1.0,0.0
1434,2023-07-24,1.5,0.0
1434,2024-08-06,0.5,0.0
1434,2025-07-30,0.8,0.0
1436,2017-09-03,1.0,0.0
1436,2018-09-09,2.5,0.5
1436,2019-09-06,2.0,2.0
1436,2020-07-26,2.5,0.0
1436,2021-08-08,2.0,0.0
1436,2022-08-01,4.15416695,0.0
1436,2023-07-31,5.13935299,0.0
1436,2024-08-03,5.62651344,0.9377522407
1436,2025-07-27,9.7964854,3.0143032002
1437,2017-07-05,0.5,0.0
1437,2018-07-04,0.5,0.0
1437,2018-08-01,0.0,0.5
1437,2019-07-09,0.5,0.0
1437,2020-07-06,1.1,0.0
1437,2021-07-05,0.7,0.0
1437,2022-07-03,0.9,0.0
1437,2023-07-03,0.8,0.0
1437,2024-07-03,1.13,0.0
1437,2025-08-07,1.35,0.0
1437,2026-01-28,0.48356663,0.0
1438,2021-11-12,0.0,0.0
1438,2023-09-17,1.0,0.0
1438,2024-12-14,0.0,0.0
1439,2017-07-08,0.5,0.0
1439,2020-09-02,5.0,0.0
1439,2022-07-01,0.2,0.0
1439,2023-07-23,0.3,0.0
1439,2024-08-13,0.3,0.0
1439,2025-08-10,0.3,0.0
1440,2017-08-15,0.32,0.0
1440,2018-08-15,0.36,0.0
1440,2019-08-15,0.4,0.0
1440,2020-08-14,0.2,0.0
1440,2021-08-12,0.35,0.0
1440,2022-07-22,0.8,0.0
1440,2023-07-21,0.35,0.0
1440,2024-08-19,0.35,0.0
1440,2025-07-22,0.3,0.0
1441,2019-09-04,0.4,2.90447991
1442,2017-09-12,0.99373019,0.9937301725
1442,2018-08-20,1.79729648,0.0
1442,2019-08-17,1.0,0.0
1442,2020-08-09,0.98689712,0.0
1442,2021-09-15,0.5,0.0
1442,2022-08-08,1.2,0.0
1442,2023-07-14,1.6,0.0
1442,2024-08-25,3.5,0.0
1442,2025-08-29,4.5,0.0
1444,2018-07-13,0.5,0.0
1444,2019-07-06,0.4,0.0
1444,2022-08-19,0.3,0.0
1444,2023-08-01,0.0,0.4
1445,2017-07-12,0.3,0.0
1445,2018-08-27,0.2,0.0
1445,2019-08-27,0.2,0.0
1445,2020-08-29,0.20306276,0.0
1445,2021-09-11,0.2,0.0
1445,2023-07-08,0.1,0.0
1445,2024-06-24,2.5,0.0
1445,2025-04-04,0.5,0.0
1446,2017-09-05,0.30000000000000004,0.0
1446,2018-09-05,0.3,0.0
1446,2019-09-04,0.3,0.0
1446,2020-08-04,0.3,0.0
1446,2021-08-21,0.3,0.0
1446,2022-07-23,0.3,0.0
1446,2023-07-22,0.2,0.0
1446,2024-07-22,0.7,0.0
1446,2025-07-27,2.0,0.0
1447,2019-07-06,0.20176505,0.0
1449,2020-03-12,0.0,0.0
1449,2023-11-06,0.0,0.2936131
1449,2024-07-02,0.0,0.0
1449,2024-09-27,0.030826,0.27743986
1449,2025-08-04,0.0,0.0
1449,2025-10-19,0.0,0.3266337059
1451,2017-07-05,1.5,0.0
1451,2018-07-04,1.5,0.0
1451,2019-07-10,2.0,0.0
1451,2021-08-18,0.6,0.0
1451,2022-07-17,1.0,0.0
1451,2023-07-09,2.0,0.0
1451,2024-07-10,0.50155664,0.0
1451,2025-04-23,1.0,0.0
1452,2017-07-09,1.2,0.0
1452,2018-07-15,1.4,0.0
1452,2019-07-07,1.4,0.0
1452,2020-07-12,1.2,0.0
1452,2021-08-13,0.7,0.0
1452,2022-07-10,2.0,0.0
1452,2023-07-16,0.8,0.0
1452,2024-07-09,0.3,0.0
1452,2025-07-09,0.5,0.0
1453,2019-08-12,0.0,1.0
1453,2020-09-01,0.0,0.2
1453,2022-09-04,0.0,0.3
1453,2023-09-03,0.0,0.3
1453,2024-09-03,0.0,0.3
1453,2025-09-03,0.0,0.3
1454,2017-07-10,0.3,0.0
1454,2018-08-26,0.2,0.0
1454,2019-07-22,0.2,0.0
1454,2020-08-29,0.2586209,0.0
1454,2021-09-08,0.2,0.0
1454,2022-07-20,0.5,0.0
1454,2023-08-30,0.25,0.0
1454,2024-09-02,0.25,0.0
1454,2025-07-28,0.25,0.0
1455,2017-07-26,0.3,0.0
1455,2018-07-18,0.4,0.0
1455,2019-07-28,0.2,0.0
1455,2021-08-17,0.30000000000000004,0.0
1455,2022-08-15,0.8,0.0
1455,2023-07-12,0.1,0.0
1456,2022-06-22,1.5,0.0
1456,2024-07-08,0.2,0.0
1457,2017-07-21,0.5,0.0
1457,2018-07-11,0.7,0.0
1457,2019-07-02,0.7,0.0
1457,2019-09-02,0.5,0.0
1457,2020-04-17,0.5,0.0
1457,2020-09-01,0.5,0.0
1457,2021-05-05,1.0,0.0
1457,2022-07-17,1.0,0.0
1457,2023-06-25,1.0,0.0
1457,2024-04-03,1.0,0.0
1457,2024-09-03,0.0,0.5
1457,2025-04-16,1.0,0.0
1459,2018-07-31,0.1,0.0
1459,2022-07-30,0.2,0.0
1460,2017-08-30,0.4,0.4
1460,2018-08-29,0.0,0.2
1460,2019-09-01,0.0,0.2
1460,2021-08-06,0.0,0.0
1463,2017-07-18,3.3,0.0
1463,2018-07-17,3.0,0.0
1463,2019-07-23,1.4,0.0
1463,2020-07-26,0.6,0.0
1463,2021-09-15,0.3,0.0
1463,2022-08-07,0.4,0.0
1463,2023-07-30,0.4,0.0
1463,2024-09-04,0.5,0.0
1463,2025-10-22,2.1,0.0
1464,2017-06-21,0.0,0.0
1464,2017-09-11,1.9329553,0.43295531
1464,2018-08-17,2.2,0.0
1464,2019-07-15,1.5,0.0
1464,2019-08-11,0.0,0.0
1464,2020-07-17,1.5,0.0
1464,2021-08-21,0.3,0.0
1464,2022-07-11,0.25,0.0
1464,2023-08-30,0.4,0.6
1464,2024-07-02,0.25,0.0
1464,2025-08-11,0.5,0.44
1465,2017-08-08,0.65,0.0
1465,2018-08-18,0.4,0.0
1465,2019-07-29,0.3,0.0
1465,2020-09-13,1.5,0.0
1465,2021-09-07,0.3,0.0
1465,2022-07-25,0.3,0.0
1465,2023-08-01,0.85,0.0
1465,2024-09-16,0.5,0.0
1465,2025-08-27,0.6,0.0
1466,2022-08-30,1.0,0.0
1467,2021-09-19,0.7,0.0
1470,2017-07-31,0.55,0.0
1470,2018-08-07,0.5,0.0
1470,2019-08-07,0.4,0.0
1470,2020-08-05,0.8,0.0
1470,2021-08-04,0.42,0.0
1470,2022-08-03,0.8,0.0
1470,2023-08-03,0.45,0.0
1470,2024-07-21,0.58,0.0
1470,2025-07-21,1.01,0.0
1472,2019-03-03,0.0,0.0
1472,2024-06-21,2.0,0.0
1472,2024-07-06,0.0,0.0
1472,2025-07-15,3.0,0.0
1473,2017-07-29,1.2,0.0
1473,2018-07-30,0.50342913,0.0
1473,2019-07-31,0.5,0.0
1473,2020-08-17,0.5,0.0
1473,2021-10-09,0.2,0.0
1473,2022-08-05,0.1,0.0
1473,2023-07-28,1.0,0.0
1473,2024-07-03,1.2,0.0
1473,2025-06-17,2.0,0.0
1474,2017-07-28,0.6,0.0
1474,2018-08-05,0.6,0.0
1474,2019-09-02,0.3,0.0
1474,2021-10-12,0.4,0.0
1474,2022-08-07,0.5,0.0
1474,2023-09-13,0.4,0.0
1474,2025-08-25,0.4,0.0
1475,2021-04-23,0.0,0.0
1475,2023-08-27,0.5,0.0
1475,2024-07-16,2.0,0.0
1475,2025-07-09,3.6,0.0
1476,2017-07-31,10.5,0.2
1476,2018-07-15,9.5,0.0
1476,2019-07-17,11.0,0.0
1476,2020-07-15,11.0,0.0
1476,2021-08-21,11.0,0.0
1476,2022-07-11,12.0,0.0
1476,2023-06-23,17.0,0.0
1476,2024-04-18,13.5,0.0
1476,2025-07-18,17.0,0.0
1477,2017-07-23,6.71153663,0.0
1477,2018-07-21,6.0,0.0
1477,2019-07-28,7.1,0.5
1477,2020-07-13,5.0,0.0
1477,2021-01-31,0.0,0.0
1477,2021-04-24,8.0,0.0
1477,2022-04-21,9.5,0.0
1477,2023-04-06,14.5,0.0
1477,2024-04-05,16.4,0.0
1477,2024-09-20,7.0,0.2
1477,2025-04-03,10.1,0.0
1477,2025-08-23,6.0,0.0
1503,2017-08-06,1.2,0.0
1503,2018-08-05,1.3,0.0
1503,2019-08-04,1.5,0.0
1503,2020-08-02,1.6,0.0
1503,2021-09-26,1.6,0.0
1503,2022-07-26,1.8,0.0
1503,2023-07-23,2.0,0.0
1503,2024-07-30,3.0,0.0
1503,2025-07-30,4.5,0.0
1504,2017-07-11,0.88,0.0
1504,2018-07-11,0.86,0.0
1504,2019-07-09,0.9,0.0
1504,2020-06-19,0.99,0.0
1504,2021-06-15,1.15,0.0
1504,2022-06-21,1.35,0.0
1504,2023-06-21,1.5,0.0
1504,2024-06-24,2.2,0.0
1504,2025-06-25,2.2,0.0
1506,2020-03-16,0.0,0.0
1513,2017-09-03,1.0,0.0
1513,2018-09-04,1.0,0.0
1513,2019-09-03,1.0,0.0
1513,2020-09-18,1.19655454,0.0
1513,2021-09-13,2.2,0.0
1513,2022-07-31,2.8,0.0
1513,2023-07-22,3.31365964,0.0
1513,2024-07-07,3.6,0.0
1513,2025-09-05,4.6,0.0
1514,2017-08-14,0.5,0.0
1514,2018-08-13,0.5,0.0
1514,2019-09-03,0.7,0.3
1514,2020-09-02,0.7,0.5
1514,2021-09-05,0.7,0.5
1514,2022-09-04,0.75,0.5
1514,2023-09-03,1.0,0.3
1514,2024-09-15,1.58059347,0.1975741914
1514,2025-09-15,1.6994881,0.1999397688
1515,2017-08-03,0.5,0.0
