stock_id,date,revenue
2032,2021-03-01,227423000
2032,2021-04-01,277664000
2032,2021-05-01,276624000
2032,2021-06-01,350601000
2032,2021-07-01,248788000
2032,2021-08-01,314654000
2032,2021-09-01,260502000
2032,2021-10-01,293255000
2032,2021-11-01,339004000
2032,2021-12-01,300281000
2032,2022-01-01,246302000
2032,2022-02-01,331369000
2032,2022-03-01,290808000
2032,2022-04-01,413615000
2032,2022-05-01,297649000
2032,2022-06-01,221296000
2032,2022-07-01,244043000
2032,2022-08-01,225368000
2032,2022-09-01,283295000
2032,2022-10-01,297163000
2032,2022-11-01,197609000
2032,2022-12-01,248049000
2032,2023-01-01,310803000
2032,2023-02-01,210527000
2032,2023-03-01,254849000
2032,2023-04-01,272040000
2032,2023-05-01,210801000
2032,2023-06-01,235874000
2032,2023-07-01,232544000
2032,2023-08-01,241960000
2032,2023-09-01,246647000
2032,2023-10-01,236205000
2032,2023-11-01,221107000
2032,2023-12-01,240774000
2032,2024-01-01,258948000
2032,2024-02-01,231424000
2032,2024-03-01,179824000
2032,2024-04-01,255645000
2032,2024-05-01,245947000
2032,2024-06-01,282156000
2032,2024-07-01,204246000
2032,2024-08-01,238679000
2032,2024-09-01,261872000
2032,2024-10-01,238649000
2032,2024-11-01,285625000
2032,2024-12-01,277427000
2032,2025-01-01,267245000
2032,2025-02-01,204423000
2032,2025-03-01,270577000
2032,2025-04-01,293086000
2032,2025-05-01,278614000
2032,2025-06-01,223375000
2032,2025-07-01,250850000
2032,2025-08-01,261187000
2032,2025-09-01,283315000
2032,2025-10-01,274557000
2032,2025-11-01,216645000
2032,2025-12-01,219586000
2032,2026-01-01,265123000
2032,2026-02-01,286737000
2033,2017-01-01,76892000
2033,2017-02-01,59078000
2033,2017-03-01,58052000
2033,2017-04-01,78258000
2033,2017-05-01,57805000
2033,2017-06-01,61622000
2033,2017-07-01,67712000
2033,2017-08-01,55073000
2033,2017-09-01,63830000
2033,2017-10-01,70905000
2033,2017-11-01,63082000
2033,2017-12-01,72234000
2033,2018-01-01,65903000
2033,2018-02-01,67064000
2033,2018-03-01,38919000
2033,2018-04-01,65964000
2033,2018-05-01,86551000
2033,2018-06-01,69525000
2033,2018-07-01,61211000
2033,2018-08-01,81098000
2033,2018-09-01,71047000
2033,2018-10-01,80323000
2033,2018-11-01,70501000
2033,2018-12-01,63996000
2033,2019-01-01,60620000
2033,2019-02-01,74621000
2033,2019-03-01,57249000
2033,2019-04-01,75072000
2033,2019-05-01,78026000
2033,2019-06-01,76396000
2033,2019-07-01,62740000
2033,2019-08-01,68460000
2033,2019-09-01,70802000
2033,2019-10-01,70879000
2033,2019-11-01,72538000
2033,2019-12-01,58061000
2033,2020-01-01,67157000
2033,2020-02-01,54810000
2033,2020-03-01,62511000
2033,2020-04-01,72964000
2033,2020-05-01,63596000
2033,2020-06-01,58001000
2033,2020-07-01,61218000
2033,2020-08-01,78109000
2033,2020-09-01,56136000
2033,2020-10-01,62230000
2033,2020-11-01,59315000
2033,2020-12-01,59593000
2033,2021-01-01,69290000
2033,2021-02-01,64935000
2033,2021-03-01,51372000
2033,2021-04-01,79255000
2033,2021-05-01,68627000
2033,2021-06-01,78403000
2033,2021-07-01,68164000
2033,2021-08-01,71323000
2033,2021-09-01,68986000
2033,2021-10-01,68862000
2033,2021-11-01,67346000
2033,2021-12-01,76399000
2033,2022-01-01,81112000
2033,2022-02-01,84638000
2033,2022-03-01,49732000
2033,2022-04-01,102907000
2033,2022-05-01,71456000
2033,2022-06-01,70282000
2033,2022-07-01,60350000
2033,2022-08-01,51499000
2033,2022-09-01,72271000
2033,2022-10-01,59036000
2033,2022-11-01,65823000
2033,2022-12-01,58269000
2033,2023-01-01,64541000
2033,2023-02-01,33965000
2033,2023-03-01,53255000
2033,2023-04-01,60329000
