stock_id,name,foreign,trust,dealer,volume,total_inst,inst_buy_ratio,date
1711,永光,522718.0,0.0,84750.0,5226949.0,607468.0,11.62,2026-06-15
1712,興農,46530.0,0.0,8999.0,897456.0,55529.0,6.19,2026-06-15
1713,國化,68500.0,0.0,2000.0,391946.0,70500.0,17.99,2026-06-15
1714,和桐,7453895.0,0.0,580585.0,50826789.0,8034480.0,15.81,2026-06-15
1717,長興,-711147.0,616.0,128235.0,6957653.0,-582296.0,-8.37,2026-06-15
1718,中纖,1262720.0,0.0,92777.0,8491703.0,1355497.0,15.96,2026-06-15
1720,生達,43801.0,0.0,3000.0,277770.0,46801.0,16.85,2026-06-15
1721,三晃,-224760.0,0.0,-1000.0,1240181.0,-225760.0,-18.2,2026-06-15
1722,台肥,1052477.0,0.0,40000.0,4738434.0,1092477.0,23.06,2026-06-15
1723,中碳,380466.0,25000.0,38917.0,1478263.0,444383.0,30.06,2026-06-15
1725,元禎,90777.0,0.0,-2000.0,178808.0,88777.0,49.65,2026-06-15
1726,永記,1485.0,0.0,3000.0,34022.0,4485.0,13.18,2026-06-15
1727,中華化,-146567.0,0.0,2431.0,5068440.0,-144136.0,-2.84,2026-06-15
1730,花仙子,2000.0,0.0,2000.0,40442.0,4000.0,9.89,2026-06-15
1731,美吾華,8400.0,0.0,7000.0,124653.0,15400.0,12.35,2026-06-15
1732,毛寶,-5000.0,0.0,0.0,149430.0,-5000.0,-3.35,2026-06-15
1733,五鼎,2000.0,0.0,7000.0,150545.0,9000.0,5.98,2026-06-15
1734,杏輝,-113396.0,0.0,4000.0,364454.0,-109396.0,-30.02,2026-06-15
1735,日勝化,-16000.0,0.0,4741.0,181299.0,-11259.0,-6.21,2026-06-15
1736,喬山,134100.0,0.0,4000.0,508718.0,138100.0,27.15,2026-06-15
1737,臺鹽,20170.0,0.0,6000.0,95077.0,26170.0,27.53,2026-06-15
1752,南光,-1000.0,0.0,1000.0,50223.0,0.0,0.0,2026-06-15
1760,寶齡富錦,8900.0,0.0,1000.0,141706.0,9900.0,6.99,2026-06-15
1762,中化生,-1200.0,0.0,2000.0,368898.0,800.0,0.22,2026-06-15
1773,勝一,-66437.0,0.0,6939.0,474227.0,-59498.0,-12.55,2026-06-15
1776,展宇,13600.0,0.0,6000.0,170266.0,19600.0,11.51,2026-06-15
1783,和康生,-5200.0,0.0,1000.0,137320.0,-4200.0,-3.06,2026-06-15
1786,科妍,15830.0,0.0,-1775.0,205838.0,14055.0,6.83,2026-06-15
1789,神隆,328100.0,0.0,9000.0,654117.0,337100.0,51.54,2026-06-15
1795,美時,-265075.0,-27000.0,4142.0,1620889.0,-287933.0,-17.76,2026-06-15
1802,台玻,11931878.0,652000.0,2501308.0,82939780.0,15085186.0,18.19,2026-06-15
1805,寶徠,-3600.0,0.0,5000.0,222484.0,1400.0,0.63,2026-06-15
1806,冠軍,48000.0,0.0,4000.0,202084.0,52000.0,25.73,2026-06-15
1808,潤隆,392431.0,0.0,30000.0,3256278.0,422431.0,12.97,2026-06-15
1809,中釉,777999.0,0.0,3000.0,6672010.0,780999.0,11.71,2026-06-15
1810,和成,-197590.0,0.0,19000.0,2875334.0,-178590.0,-6.21,2026-06-15
1817,凱撒衛,14350.0,0.0,5000.0,81302.0,19350.0,23.8,2026-06-15
1903,士紙,-6290.0,0.0,2730.0,145718.0,-3560.0,-2.44,2026-06-15
1904,正隆,591942.0,0.0,46000.0,3763926.0,637942.0,16.95,2026-06-15
1905,華紙,804762.0,0.0,58574.0,4332978.0,863336.0,19.92,2026-06-15
1906,寶隆,19500.0,0.0,9912.0,77961.0,29412.0,37.73,2026-06-15
1907,永豐餘,422647.0,0.0,-12000.0,1243387.0,410647.0,33.03,2026-06-15
1909,榮成,700460.0,0.0,30414.0,4386270.0,730874.0,16.66,2026-06-15
2002,中鋼,9012379.0,420000.0,737868.0,69973008.0,10170247.0,14.53,2026-06-15
2006,東和鋼鐵,-790260.0,426000.0,8773.0,3447762.0,-355487.0,-10.31,2026-06-15
2007,燁興,62400.0,0.0,2000.0,197778.0,64400.0,32.56,2026-06-15
2008,高興昌,16000.0,0.0,2000.0,34285.0,18000.0,52.5,2026-06-15
2009,第一銅,1225866.0,0.0,42000.0,2789280.0,1267866.0,45.45,2026-06-15
2010,春源,-816868.0,0.0,12000.0,2569348.0,-804868.0,-31.33,2026-06-15
2012,春雨,5100.0,0.0,3000.0,144321.0,8100.0,5.61,2026-06-15
2013,中鋼構,31000.0,0.0,1903.0,125381.0,32903.0,26.24,2026-06-15
2014,中鴻,1990813.0,0.0,-329000.0,6268416.0,1661813.0,26.51,2026-06-15
2015,豐興,194320.0,123000.0,7000.0,569310.0,324320.0,56.97,2026-06-15
2017,官田鋼,-41274.0,0.0,11000.0,697471.0,-30274.0,-4.34,2026-06-15
2020,美亞,136550.0,0.0,4000.0,548745.0,140550.0,25.61,2026-06-15
